Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,MathScore
male,group D,some high school,standard,none,divorced,regularly,yes,1,private,70
male,group E,high school,standard,none,married,regularly,no,2,private,96
male,group D,some college,standard,none,married,sometimes,yes,3,school_bus,61
male,group E,some high school,standard,completed,divorced,regularly,yes,3,school_bus,82
female,group E,associate's degree,standard,none,married,never,yes,1,private,64
female,group D,associate's degree,free/reduced,none,married,sometimes,no,2,school_bus,40
male,,some college,standard,,single,sometimes,no,4,private,82
female,group B,high school,standard,none,married,regularly,yes,3,school_bus,77
male,group D,high school,free/reduced,completed,married,never,no,5,,65
female,group D,bachelor's degree,free/reduced,none,married,sometimes,yes,2,private,50
female,group D,bachelor's degree,standard,,,sometimes,yes,4,school_bus,92
male,group B,high school,standard,completed,divorced,sometimes,yes,1,school_bus,66
male,group C,some high school,standard,,married,regularly,yes,2,school_bus,79
female,group A,some college,standard,none,single,sometimes,yes,3,school_bus,70
female,group A,,standard,none,divorced,regularly,yes,3,private,68
female,group B,some college,free/reduced,none,married,sometimes,yes,0,school_bus,32
female,group D,associate's degree,standard,none,divorced,regularly,yes,0,school_bus,68
male,group B,master's degree,free/reduced,completed,married,sometimes,yes,4,school_bus,55
female,group B,some high school,standard,none,single,sometimes,no,1,school_bus,65
female,group D,associate's degree,free/reduced,none,married,regularly,yes,0,school_bus,38
male,group C,some high school,free/reduced,completed,married,sometimes,yes,4,private,41
male,,associate's degree,standard,completed,divorced,sometimes,yes,2,school_bus,86
female,group E,associate's degree,standard,,divorced,regularly,no,3,private,83
female,group C,some high school,free/reduced,completed,divorced,never,no,4,school_bus,62
female,group D,some college,free/reduced,none,,regularly,yes,0,school_bus,61
female,group C,bachelor's degree,standard,none,divorced,regularly,yes,1,,84
female,group C,some college,standard,completed,divorced,sometimes,yes,0,private,80
male,group B,some high school,standard,none,divorced,sometimes,yes,0,,57
female,group E,high school,free/reduced,completed,married,regularly,yes,2,school_bus,65
male,group B,high school,standard,completed,married,sometimes,yes,,private,60
male,group D,master's degree,standard,completed,married,regularly,yes,1,private,100
male,group D,,standard,none,married,regularly,yes,2,private,83
male,,master's degree,standard,none,single,regularly,yes,3,school_bus,66
male,group B,bachelor's degree,standard,completed,divorced,never,yes,1,private,85
male,group D,some high school,free/reduced,,married,sometimes,no,3,school_bus,37
female,group E,high school,standard,none,divorced,sometimes,yes,4,private,94
female,group B,some college,standard,none,divorced,sometimes,no,3,school_bus,72
female,group D,some college,standard,completed,married,never,yes,0,private,69
male,group A,associate's degree,free/reduced,,single,regularly,no,2,school_bus,66
male,group E,some high school,standard,none,divorced,sometimes,no,1,school_bus,83
female,group A,some high school,standard,none,married,sometimes,no,3,school_bus,70
female,group D,,standard,none,divorced,sometimes,yes,4,school_bus,62
male,group D,bachelor's degree,standard,none,single,never,yes,2,school_bus,65
male,group D,associate's degree,free/reduced,none,married,regularly,yes,4,school_bus,61
male,group E,bachelor's degree,standard,none,married,sometimes,yes,1,school_bus,97
male,group B,associate's degree,standard,completed,single,regularly,yes,1,private,69
male,group C,some high school,standard,none,married,sometimes,yes,0,school_bus,56
female,group A,some college,standard,,,regularly,no,1,school_bus,74
female,group E,high school,standard,completed,single,sometimes,no,3,private,82
male,group C,some college,standard,none,single,sometimes,no,4,school_bus,84
male,group B,bachelor's degree,standard,none,single,regularly,no,,private,91
male,group A,some college,standard,none,married,sometimes,no,1,school_bus,90
male,group D,high school,standard,none,married,regularly,yes,3,school_bus,74
male,group D,bachelor's degree,standard,none,married,regularly,yes,1,,71
female,group D,some college,free/reduced,completed,married,sometimes,yes,1,school_bus,64
female,group B,bachelor's degree,free/reduced,none,divorced,sometimes,yes,3,private,81
male,group B,some college,free/reduced,none,single,sometimes,yes,3,school_bus,77
male,group C,high school,standard,completed,married,sometimes,yes,3,school_bus,77
male,group C,some college,standard,,married,sometimes,yes,0,private,62
male,group B,associate's degree,standard,completed,single,sometimes,no,2,private,65
female,group B,associate's degree,standard,completed,divorced,never,yes,1,school_bus,63
male,group C,some high school,free/reduced,none,married,never,yes,3,school_bus,41
female,group C,some high school,free/reduced,none,married,sometimes,no,3,private,38
female,group C,some college,standard,none,married,sometimes,yes,2,,62
male,group B,some high school,standard,none,married,sometimes,yes,0,school_bus,88
male,group D,some college,standard,completed,married,sometimes,no,6,school_bus,84
female,group C,some high school,free/reduced,none,married,never,yes,1,private,44
female,group D,associate's degree,free/reduced,,single,sometimes,yes,1,school_bus,55
male,group A,some high school,standard,none,single,sometimes,no,3,private,73
female,group C,some high school,free/reduced,completed,married,never,yes,3,school_bus,51
female,group B,high school,standard,none,single,sometimes,,1,private,83
female,,bachelor's degree,standard,none,,never,yes,1,private,79
female,group C,some college,free/reduced,completed,single,sometimes,yes,1,private,86
female,group C,some college,standard,,married,regularly,no,2,private,72
male,group C,high school,free/reduced,none,single,sometimes,yes,3,private,60
female,group C,some college,standard,none,divorced,never,no,5,,60
male,,associate's degree,standard,none,single,regularly,,0,school_bus,83
female,,some high school,standard,completed,,sometimes,yes,3,school_bus,73
male,group B,some college,standard,none,married,sometimes,yes,2,school_bus,87
male,group A,bachelor's degree,standard,none,single,regularly,yes,1,private,69
male,group D,high school,free/reduced,none,married,regularly,yes,3,school_bus,63
male,group C,some college,standard,completed,married,sometimes,yes,3,school_bus,62
male,group B,some high school,standard,none,married,sometimes,no,2,school_bus,76
male,group C,some college,standard,none,widowed,regularly,yes,,school_bus,39
female,,master's degree,standard,completed,single,regularly,no,1,private,48
female,group B,some high school,standard,none,married,sometimes,yes,3,school_bus,39
male,group B,some college,standard,none,married,regularly,yes,2,school_bus,61
female,group C,some high school,standard,none,married,sometimes,yes,4,private,45
female,group B,high school,free/reduced,none,single,never,no,2,school_bus,47
female,group C,some college,standard,completed,married,sometimes,yes,2,private,77
female,group E,some college,free/reduced,none,married,regularly,yes,3,school_bus,51
male,group C,some high school,standard,completed,single,sometimes,no,4,private,83
female,group D,master's degree,standard,completed,married,sometimes,yes,4,private,95
male,group D,high school,standard,none,married,sometimes,no,6,school_bus,60
female,group C,some high school,standard,none,married,regularly,yes,0,school_bus,70
male,group C,some college,standard,completed,married,sometimes,yes,0,school_bus,80
male,group E,some high school,free/reduced,none,married,regularly,yes,0,school_bus,56
male,group D,associate's degree,standard,completed,married,never,yes,5,school_bus,85
female,group D,some college,standard,none,single,sometimes,no,2,private,84
female,group C,,free/reduced,completed,married,regularly,yes,5,school_bus,64
male,group B,high school,standard,completed,married,regularly,yes,0,private,40
male,group C,some college,standard,completed,married,regularly,yes,2,private,61
female,group C,some college,standard,none,single,regularly,yes,0,school_bus,51
female,group A,some college,free/reduced,none,married,regularly,yes,3,school_bus,44
male,,some college,standard,completed,married,regularly,yes,3,school_bus,86
male,group B,high school,free/reduced,none,single,sometimes,no,2,private,22
male,group D,high school,standard,none,married,regularly,yes,5,school_bus,72
male,group D,associate's degree,standard,none,divorced,regularly,yes,3,school_bus,72
female,group C,high school,standard,none,widowed,never,yes,0,,65
male,group D,bachelor's degree,free/reduced,completed,divorced,regularly,no,2,school_bus,78
female,group E,,free/reduced,completed,single,sometimes,yes,3,school_bus,67
male,group B,bachelor's degree,standard,completed,single,sometimes,yes,2,school_bus,65
male,group D,bachelor's degree,standard,completed,married,regularly,no,5,private,72
female,group B,associate's degree,standard,none,married,regularly,no,3,school_bus,77
male,group D,associate's degree,free/reduced,completed,single,sometimes,yes,,private,69
female,group C,some college,standard,none,married,sometimes,yes,2,school_bus,68
female,group E,some high school,standard,completed,divorced,regularly,no,2,,73
male,group E,some college,free/reduced,none,married,sometimes,no,2,,58
female,group D,,standard,none,single,,yes,2,,67
female,group E,some high school,standard,none,divorced,sometimes,no,2,school_bus,71
female,group D,some high school,standard,none,widowed,sometimes,yes,2,school_bus,76
female,group A,master's degree,standard,none,married,sometimes,yes,1,,58
female,group B,high school,standard,completed,single,sometimes,no,4,school_bus,94
female,group C,master's degree,standard,none,divorced,never,yes,1,private,82
male,group E,some college,standard,none,single,sometimes,yes,4,school_bus,78
male,group A,associate's degree,free/reduced,none,divorced,sometimes,yes,5,school_bus,57
female,group C,some high school,standard,none,married,sometimes,yes,1,school_bus,81
female,group C,some college,free/reduced,,married,sometimes,yes,2,private,72
female,group B,some high school,free/reduced,completed,single,regularly,yes,4,school_bus,64
female,group B,some high school,free/reduced,none,married,sometimes,no,3,school_bus,55
male,group C,master's degree,free/reduced,completed,married,regularly,yes,3,private,67
female,group C,master's degree,standard,,married,sometimes,,0,private,62
female,group B,associate's degree,standard,completed,married,regularly,yes,3,school_bus,69
female,group B,associate's degree,free/reduced,none,single,regularly,no,2,school_bus,66
male,group C,some high school,free/reduced,completed,married,never,yes,2,,66
female,,associate's degree,standard,none,single,sometimes,yes,3,school_bus,85
female,group B,,free/reduced,none,married,sometimes,yes,2,,39
female,group C,associate's degree,standard,none,single,regularly,yes,1,school_bus,87
female,group C,master's degree,standard,none,married,regularly,yes,2,school_bus,100
male,group C,bachelor's degree,free/reduced,none,married,regularly,yes,,private,51
female,,bachelor's degree,standard,none,married,regularly,yes,1,,68
male,group A,some college,standard,none,married,sometimes,no,1,private,66
male,group B,some college,free/reduced,none,married,sometimes,yes,1,school_bus,37
female,group B,some college,free/reduced,completed,married,sometimes,yes,2,school_bus,64
female,group A,some college,free/reduced,completed,divorced,regularly,yes,,school_bus,46
female,group A,high school,standard,none,married,regularly,no,4,school_bus,51
male,group D,high school,free/reduced,completed,single,sometimes,yes,2,private,45
female,group A,high school,standard,none,married,regularly,yes,3,school_bus,67
female,group D,high school,standard,none,married,never,no,,school_bus,50
male,group E,some college,standard,none,married,regularly,yes,1,school_bus,78
female,group B,high school,standard,none,married,regularly,yes,2,private,69
male,group B,associate's degree,standard,completed,married,regularly,,2,school_bus,80
male,group E,bachelor's degree,free/reduced,,married,regularly,yes,3,school_bus,66
female,group C,bachelor's degree,standard,completed,single,sometimes,no,1,school_bus,44
female,group E,master's degree,standard,completed,divorced,regularly,yes,2,private,100
female,group D,,standard,completed,divorced,never,,1,private,78
male,group E,high school,standard,completed,divorced,sometimes,yes,3,,86
female,group A,some college,free/reduced,none,married,regularly,yes,0,school_bus,51
male,group C,associate's degree,standard,none,single,regularly,yes,1,private,92
female,group C,,standard,none,married,regularly,yes,1,private,62
male,,associate's degree,free/reduced,completed,single,sometimes,yes,0,school_bus,74
female,,some college,standard,none,divorced,sometimes,yes,4,private,69
male,group C,some high school,free/reduced,none,single,sometimes,yes,2,school_bus,76
female,group B,associate's degree,free/reduced,none,married,sometimes,yes,4,private,57
female,group E,,standard,completed,married,sometimes,yes,7,school_bus,93
female,group B,master's degree,free/reduced,completed,married,sometimes,no,3,school_bus,48
female,group D,some high school,free/reduced,completed,single,regularly,,0,school_bus,51
female,group D,associate's degree,standard,completed,married,never,,3,school_bus,74
male,group C,bachelor's degree,free/reduced,completed,single,regularly,yes,1,private,67
female,group E,associate's degree,free/reduced,none,married,never,no,1,private,64
female,group B,high school,free/reduced,completed,single,sometimes,no,1,school_bus,66
female,group B,associate's degree,standard,completed,married,sometimes,no,3,school_bus,66
male,group D,associate's degree,free/reduced,none,married,sometimes,yes,1,private,64
female,group B,some college,standard,completed,married,never,yes,4,private,63
male,group C,high school,standard,completed,divorced,sometimes,yes,2,,52
female,group B,high school,standard,none,married,sometimes,yes,3,school_bus,66
male,group D,some high school,standard,none,married,regularly,yes,1,school_bus,57
female,group B,some high school,free/reduced,none,married,never,yes,2,private,60
male,group D,some high school,standard,completed,married,sometimes,no,,,72
male,group C,bachelor's degree,free/reduced,none,single,sometimes,yes,3,private,57
male,group E,bachelor's degree,standard,none,married,sometimes,yes,6,school_bus,63
female,group B,associate's degree,standard,completed,married,regularly,yes,0,private,73
female,group B,some college,standard,none,married,never,no,1,school_bus,63
female,group B,high school,standard,none,married,sometimes,no,2,private,77
female,group D,associate's degree,standard,completed,married,never,yes,,school_bus,89
female,group A,associate's degree,free/reduced,none,divorced,regularly,,0,private,22
male,group A,high school,standard,none,divorced,never,yes,1,private,81
male,group A,some college,standard,none,married,sometimes,no,4,private,64
female,,some college,standard,,married,regularly,yes,3,school_bus,84
female,group C,some college,standard,none,married,never,yes,4,,43
male,group C,high school,standard,none,married,sometimes,yes,1,school_bus,67
female,group B,associate's degree,standard,completed,married,sometimes,yes,0,school_bus,89
female,group D,high school,standard,completed,married,regularly,yes,1,private,100
female,group E,bachelor's degree,standard,none,married,regularly,yes,0,school_bus,89
female,group B,high school,free/reduced,none,married,sometimes,yes,3,private,55
female,group E,,standard,none,married,sometimes,yes,,school_bus,51
female,group D,some high school,standard,none,married,sometimes,no,1,school_bus,86
male,group B,some high school,free/reduced,completed,married,regularly,yes,2,school_bus,51
male,group B,master's degree,standard,none,married,never,yes,4,private,50
male,group D,some college,standard,none,married,regularly,no,5,,75
male,group D,master's degree,free/reduced,completed,divorced,sometimes,yes,3,school_bus,62
female,group D,some college,standard,none,divorced,,yes,0,,77
male,,some high school,free/reduced,completed,single,sometimes,no,1,school_bus,44
female,group B,some college,standard,none,married,never,yes,2,school_bus,33
female,group D,some college,standard,none,married,sometimes,yes,1,private,57
female,group C,some high school,standard,completed,married,sometimes,no,4,school_bus,54
male,group E,some high school,free/reduced,none,single,sometimes,yes,4,private,72
female,group B,master's degree,free/reduced,none,single,regularly,no,3,,56
male,group D,associate's degree,standard,,single,regularly,yes,3,,65
female,group D,bachelor's degree,standard,none,married,sometimes,yes,,school_bus,69
female,group C,associate's degree,standard,none,,sometimes,yes,0,private,62
male,group D,high school,standard,completed,married,regularly,yes,2,school_bus,67
female,group D,master's degree,free/reduced,none,single,sometimes,no,,,73
male,group D,associate's degree,standard,none,single,sometimes,yes,4,,69
female,group B,associate's degree,standard,completed,single,never,yes,2,private,61
female,group E,high school,standard,none,married,regularly,no,2,,70
male,group D,some college,standard,completed,single,sometimes,,4,private,93
female,group C,some high school,standard,completed,single,sometimes,no,2,private,65
male,,some college,free/reduced,completed,single,sometimes,yes,4,school_bus,61
male,,associate's degree,free/reduced,none,,never,yes,2,,39
male,group E,,standard,none,divorced,sometimes,yes,2,private,91
female,group B,some high school,free/reduced,completed,married,regularly,yes,2,school_bus,48
female,,master's degree,standard,completed,married,sometimes,yes,,private,70
female,group C,,standard,none,married,never,yes,0,school_bus,49
male,group C,some high school,free/reduced,completed,married,regularly,yes,5,school_bus,66
female,group B,some high school,free/reduced,completed,married,never,yes,5,school_bus,39
female,group D,some college,standard,completed,single,never,yes,3,private,96
female,group E,high school,free/reduced,none,single,never,yes,4,,71
female,group B,associate's degree,free/reduced,none,single,sometimes,yes,4,private,41
male,group C,some high school,standard,completed,married,regularly,yes,1,school_bus,96
female,group D,bachelor's degree,standard,completed,widowed,sometimes,yes,7,private,80
female,,high school,free/reduced,completed,married,never,yes,1,private,62
male,group B,some college,free/reduced,none,married,regularly,yes,2,school_bus,47
female,group E,associate's degree,free/reduced,none,married,never,yes,0,private,80
female,group A,bachelor's degree,standard,none,single,sometimes,yes,3,private,78
male,group D,some high school,free/reduced,none,single,sometimes,no,1,school_bus,76
female,group C,associate's degree,standard,none,divorced,never,no,,private,67
male,group E,,standard,completed,married,sometimes,no,3,school_bus,71
male,group A,high school,free/reduced,none,married,sometimes,yes,2,school_bus,49
female,group D,master's degree,standard,completed,married,sometimes,yes,1,school_bus,78
male,group C,bachelor's degree,standard,completed,,regularly,yes,3,,85
female,group C,high school,standard,completed,divorced,regularly,yes,5,,55
female,group C,master's degree,free/reduced,none,single,sometimes,yes,4,school_bus,61
male,group E,some college,free/reduced,none,married,never,no,1,private,67
male,group C,high school,free/reduced,completed,single,sometimes,yes,2,,53
male,group D,some high school,standard,none,single,never,yes,0,school_bus,61
female,group C,some high school,standard,completed,single,sometimes,yes,3,school_bus,45
female,group E,bachelor's degree,standard,completed,married,never,yes,,private,69
female,group B,some college,standard,none,divorced,regularly,yes,3,private,63
female,group C,some high school,standard,none,single,never,no,1,school_bus,75
female,group C,,free/reduced,completed,married,never,no,5,private,32
female,group C,associate's degree,free/reduced,none,divorced,regularly,no,3,private,57
male,group B,master's degree,standard,none,married,sometimes,yes,2,private,78
male,group B,some high school,standard,,divorced,regularly,yes,3,school_bus,49
male,group E,associate's degree,standard,none,single,never,no,3,school_bus,97
female,group D,some high school,standard,none,married,regularly,no,2,private,66
female,group C,high school,standard,completed,divorced,regularly,,1,school_bus,79
female,group D,some college,standard,none,married,sometimes,yes,5,private,65
male,group C,master's degree,free/reduced,completed,married,regularly,yes,1,private,62
male,group B,some high school,standard,none,single,regularly,yes,0,private,78
female,group B,some college,standard,none,divorced,regularly,yes,1,school_bus,47
female,group C,some high school,standard,none,married,sometimes,yes,0,school_bus,60
female,group C,some high school,standard,none,married,sometimes,yes,2,private,65
female,group C,high school,standard,completed,married,regularly,no,,private,74
male,,some college,standard,none,,sometimes,no,,school_bus,53
male,group D,associate's degree,free/reduced,none,single,sometimes,yes,2,school_bus,83
female,group D,associate's degree,free/reduced,completed,single,sometimes,no,4,school_bus,82
female,group D,some college,standard,none,single,regularly,yes,4,school_bus,70
female,group C,bachelor's degree,free/reduced,completed,divorced,sometimes,yes,5,private,44
male,group B,bachelor's degree,free/reduced,completed,married,never,yes,3,,79
female,group D,associate's degree,standard,completed,married,never,yes,3,school_bus,69
male,group C,some high school,standard,completed,,sometimes,no,2,school_bus,73
female,,master's degree,standard,completed,single,regularly,yes,4,school_bus,75
female,group E,some college,free/reduced,none,married,sometimes,yes,2,private,55
male,,associate's degree,standard,none,married,sometimes,,1,private,51
female,group D,some college,standard,completed,married,sometimes,yes,2,school_bus,52
female,group C,high school,free/reduced,none,divorced,sometimes,yes,1,private,27
female,group C,associate's degree,standard,none,single,regularly,no,1,,50
male,group B,some college,standard,completed,married,sometimes,yes,2,private,81
male,group A,bachelor's degree,standard,none,single,sometimes,yes,0,private,90
female,group B,high school,standard,none,divorced,regularly,yes,1,private,70
male,group C,high school,standard,none,divorced,regularly,yes,2,school_bus,64
male,group C,bachelor's degree,free/reduced,completed,single,sometimes,yes,3,school_bus,72
female,group C,,free/reduced,completed,widowed,regularly,yes,1,private,61
female,group C,some high school,free/reduced,none,married,regularly,no,2,private,55
female,group C,high school,standard,none,married,regularly,yes,1,school_bus,87
female,group B,some college,standard,completed,married,sometimes,yes,0,private,65
female,group C,associate's degree,free/reduced,none,married,sometimes,yes,0,school_bus,60
female,group D,some college,standard,none,married,sometimes,no,1,private,77
female,group A,some high school,standard,none,married,sometimes,no,4,school_bus,70
male,group A,bachelor's degree,standard,none,married,sometimes,no,,private,57
male,group C,associate's degree,standard,completed,single,never,yes,2,school_bus,68
male,group C,,free/reduced,none,single,sometimes,no,3,private,42
male,group A,high school,standard,,divorced,regularly,yes,2,private,85
male,group E,high school,standard,none,married,regularly,no,3,school_bus,79
female,group C,associate's degree,free/reduced,,single,regularly,yes,3,private,65
female,group C,bachelor's degree,standard,none,married,regularly,no,3,school_bus,70
male,group D,high school,standard,completed,,sometimes,no,3,school_bus,74
female,group C,high school,free/reduced,none,married,regularly,yes,5,private,43
female,group D,high school,free/reduced,none,married,sometimes,no,2,school_bus,51
male,group C,,standard,none,single,never,yes,2,private,55
female,group C,associate's degree,standard,none,single,regularly,yes,0,private,84
female,group C,high school,free/reduced,none,married,regularly,yes,0,school_bus,51
female,group A,some high school,free/reduced,none,single,regularly,no,4,school_bus,22
male,group C,some high school,free/reduced,completed,divorced,regularly,yes,0,private,51
male,group E,high school,standard,completed,single,sometimes,yes,2,school_bus,81
female,group B,some high school,standard,none,single,sometimes,yes,3,private,59
male,group E,some college,standard,none,married,sometimes,yes,1,school_bus,68
male,group A,some college,standard,completed,single,regularly,yes,,school_bus,80
female,group A,associate's degree,standard,none,divorced,sometimes,yes,0,school_bus,53
female,group B,some college,free/reduced,completed,married,regularly,yes,1,school_bus,62
female,group C,some college,standard,completed,married,regularly,no,3,private,56
male,group C,associate's degree,standard,none,single,regularly,yes,1,school_bus,67
male,group C,some high school,free/reduced,none,single,sometimes,yes,3,private,43
female,group E,some high school,standard,none,married,regularly,yes,2,private,77
female,group C,some college,free/reduced,none,divorced,regularly,no,3,private,58
female,group B,bachelor's degree,standard,none,divorced,sometimes,yes,2,school_bus,72
male,group A,some high school,free/reduced,none,married,sometimes,yes,2,private,44
female,group C,associate's degree,free/reduced,none,single,regularly,yes,5,school_bus,57
male,group D,some college,standard,completed,,sometimes,yes,0,school_bus,96
male,group C,some college,standard,completed,married,sometimes,,3,school_bus,63
male,group A,master's degree,standard,none,married,regularly,no,5,private,63
male,group D,some college,standard,completed,single,regularly,yes,,school_bus,69
female,group D,some high school,free/reduced,none,divorced,regularly,no,4,private,53
male,group D,some college,standard,none,single,never,no,,school_bus,63
female,group C,high school,standard,none,married,regularly,yes,5,private,59
female,group C,bachelor's degree,standard,none,married,never,no,1,school_bus,38
female,group B,bachelor's degree,standard,,married,never,no,3,school_bus,75
female,group C,some high school,free/reduced,completed,single,sometimes,yes,3,school_bus,38
male,group D,some high school,standard,none,divorced,sometimes,yes,1,school_bus,62
male,group E,high school,standard,none,married,sometimes,yes,1,private,95
male,group E,some college,standard,none,married,regularly,yes,3,private,100
female,group D,some high school,free/reduced,completed,married,regularly,no,3,school_bus,57
male,group D,high school,standard,none,married,regularly,yes,3,private,74
male,group D,bachelor's degree,standard,none,,regularly,yes,1,school_bus,57
male,group C,associate's degree,standard,none,single,sometimes,yes,1,private,71
male,group D,some college,free/reduced,none,married,sometimes,yes,1,school_bus,71
female,group B,some college,free/reduced,none,married,sometimes,yes,0,school_bus,44
female,,,free/reduced,none,divorced,sometimes,no,1,school_bus,67
male,group D,associate's degree,standard,none,single,regularly,yes,1,school_bus,100
male,group C,bachelor's degree,standard,none,single,regularly,no,3,private,73
female,group C,some high school,standard,completed,single,regularly,yes,3,private,56
male,group C,bachelor's degree,free/reduced,,married,sometimes,no,3,school_bus,63
female,group D,some high school,free/reduced,completed,divorced,regularly,yes,0,school_bus,58
male,group D,some high school,free/reduced,completed,married,never,no,3,school_bus,53
female,group C,some college,free/reduced,none,,regularly,yes,4,private,59
female,group C,some high school,standard,none,divorced,sometimes,no,2,school_bus,70
female,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,2,school_bus,67
female,group D,some high school,free/reduced,none,divorced,never,yes,2,,41
male,group E,some college,free/reduced,none,widowed,regularly,,,,81
female,,high school,standard,none,divorced,regularly,yes,2,school_bus,50
female,group C,master's degree,free/reduced,none,married,regularly,no,3,school_bus,74
female,group E,high school,standard,completed,married,regularly,yes,2,school_bus,64
female,group E,high school,free/reduced,none,married,regularly,yes,3,private,76
male,group D,bachelor's degree,standard,none,married,regularly,yes,5,,67
female,group C,some high school,free/reduced,completed,married,,yes,2,school_bus,54
male,group D,some high school,free/reduced,none,widowed,sometimes,,3,private,68
male,group D,bachelor's degree,standard,completed,divorced,sometimes,yes,1,private,100
male,group E,associate's degree,standard,none,married,sometimes,yes,3,private,93
female,group D,some college,standard,completed,divorced,never,no,1,school_bus,50
male,,high school,free/reduced,none,married,sometimes,no,2,private,64
female,group B,high school,standard,none,married,sometimes,no,2,school_bus,45
female,group A,some college,free/reduced,completed,married,sometimes,yes,2,school_bus,56
male,group E,some high school,standard,completed,married,sometimes,yes,3,school_bus,88
female,,associate's degree,standard,,,sometimes,no,1,,60
female,group C,some college,standard,,,sometimes,yes,,school_bus,56
male,group B,some high school,free/reduced,none,married,regularly,yes,1,school_bus,61
male,group C,bachelor's degree,standard,none,single,sometimes,no,4,school_bus,73
male,group C,,free/reduced,none,divorced,sometimes,yes,2,private,75
male,group B,associate's degree,free/reduced,completed,married,regularly,,2,school_bus,46
female,group B,some college,standard,completed,married,sometimes,yes,2,school_bus,66
female,,high school,standard,none,married,sometimes,no,3,school_bus,39
male,group C,some college,standard,completed,divorced,sometimes,yes,3,school_bus,61
male,group E,some college,standard,none,married,sometimes,no,2,private,91
male,group A,associate's degree,standard,none,divorced,sometimes,yes,3,private,78
male,group B,some college,standard,completed,married,regularly,no,,school_bus,100
female,group C,high school,standard,none,single,sometimes,yes,2,school_bus,64
female,group E,some high school,standard,none,single,regularly,yes,1,school_bus,73
male,group E,some high school,free/reduced,none,single,regularly,no,3,,63
male,group C,associate's degree,standard,none,married,never,no,4,private,50
male,group C,high school,standard,none,married,sometimes,yes,1,school_bus,58
female,group D,some high school,standard,none,single,regularly,yes,3,school_bus,62
female,group D,associate's degree,standard,completed,,sometimes,yes,1,private,82
female,group D,bachelor's degree,standard,none,married,sometimes,no,1,school_bus,77
male,group C,master's degree,standard,none,divorced,regularly,no,4,school_bus,82
male,group D,bachelor's degree,standard,completed,married,sometimes,yes,1,,90
female,group A,high school,free/reduced,none,married,never,yes,2,private,55
female,group D,associate's degree,free/reduced,none,single,never,yes,3,school_bus,42
male,group E,some high school,free/reduced,none,single,regularly,yes,4,school_bus,36
female,group C,bachelor's degree,standard,none,single,never,yes,4,private,77
male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,3,,51
female,group B,some high school,standard,completed,married,sometimes,yes,1,private,64
male,group C,high school,standard,none,single,sometimes,yes,4,school_bus,49
male,group A,some college,free/reduced,,single,never,yes,1,school_bus,31
female,group E,associate's degree,free/reduced,none,single,sometimes,yes,1,private,94
female,group E,some high school,free/reduced,none,married,never,yes,2,private,27
female,group C,associate's degree,free/reduced,none,single,regularly,no,2,school_bus,51
female,group A,high school,standard,none,divorced,sometimes,yes,0,school_bus,68
female,group C,high school,standard,none,divorced,regularly,yes,0,school_bus,66
female,group B,,free/reduced,,married,regularly,no,3,school_bus,40
female,group D,,standard,none,divorced,sometimes,yes,1,,39
male,group D,,standard,none,married,sometimes,yes,1,private,57
female,group A,,standard,completed,single,sometimes,no,2,school_bus,74
male,group B,,standard,none,married,never,yes,2,private,78
female,group A,some college,standard,completed,married,regularly,yes,1,school_bus,47
male,group C,some high school,standard,completed,married,regularly,no,1,private,67
male,group D,high school,free/reduced,,single,sometimes,,0,school_bus,82
female,group C,some high school,standard,none,,sometimes,no,1,school_bus,55
male,group B,associate's degree,standard,completed,divorced,regularly,yes,3,private,75
male,group B,high school,standard,none,single,regularly,yes,,school_bus,66
male,group D,some college,standard,completed,married,regularly,yes,2,school_bus,81
female,group D,associate's degree,standard,completed,married,regularly,yes,2,private,88
female,group D,some college,standard,,married,sometimes,yes,3,,77
male,group E,some college,standard,none,single,regularly,no,1,private,87
female,group B,some college,free/reduced,none,married,sometimes,yes,2,private,46
female,group C,high school,free/reduced,none,married,regularly,no,3,private,61
male,group B,high school,standard,none,married,sometimes,,2,private,43
female,group D,bachelor's degree,standard,none,divorced,sometimes,no,3,private,77
female,group B,some college,standard,none,married,never,yes,2,private,66
male,group D,some high school,standard,completed,married,,no,1,school_bus,78
female,group D,master's degree,free/reduced,completed,married,regularly,yes,2,school_bus,69
male,group E,some high school,free/reduced,none,married,regularly,no,1,school_bus,67
male,group D,associate's degree,free/reduced,,single,sometimes,yes,3,school_bus,62
female,group D,high school,free/reduced,none,married,never,yes,2,,54
female,group C,high school,standard,none,single,regularly,yes,0,private,62
female,,associate's degree,standard,none,,sometimes,yes,2,school_bus,63
female,group C,some college,standard,none,divorced,sometimes,yes,,school_bus,53
female,group C,associate's degree,standard,completed,married,never,yes,0,private,44
male,group C,some college,free/reduced,none,single,sometimes,no,1,school_bus,65
male,group E,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,80
male,group D,master's degree,standard,none,divorced,sometimes,yes,2,private,93
male,,bachelor's degree,free/reduced,none,single,sometimes,yes,1,school_bus,66
female,group C,bachelor's degree,standard,completed,single,regularly,yes,2,school_bus,81
female,group C,some college,standard,completed,single,regularly,no,3,private,65
